#radius(kpc) Velocity(km/s)
71.5000902433 20.4650467294
73.6422403529 21.2801808615
73.4896854095 22.8816377566
73.91134504 22.9512162314
76.6749256592 22.1225036978
77.1518677091 24.1046308704
77.1601860158 24.1481888304
78.7282142723 19.1175378522
78.3191233763 22.7549494743
81.0275064465 20.6512192768
81.1493704626 21.8976223689
81.9324017687 18.2947241868
83.3919376332 21.2994375173
84.9191411888 19.9551901302
85.7645173794 21.4820911404
86.9671496094 23.0811763609
86.9038179804 16.939275385
89.040741497 22.2487654171
89.8687867052 22.4427144442
90.1686460965 20.8582632705
92.5634520381 18.8834021062
92.1140748968 18.4858869134
93.4427405758 18.8057149441
94.0840656984 21.6020854601
95.5428686862 20.1493121931
96.4570824464 17.9718056396
97.6198259302 19.1702325763
98.4859642045 17.7347548761
100.231141529 22.1643228348
101.080825608 18.9425760605
101.867227731 18.0405135393
102.994113583 17.3781344016
103.616957983 19.653228579
105.086659572 22.7039494991
105.161635432 20.2621065211
107.556410631 16.5237085642
108.433799377 20.8748956466
109.03933429 20.6229216868
109.561173866 21.8127207837
110.819837355 20.2518266293
111.227525721 19.2904915686
112.293548951 19.155105345
113.319735455 19.5487611728
113.689048858 20.094806977
115.250618017 18.6730353376
116.155684004 17.8998333669
117.214622126 19.904103683
117.991193108 18.4626002376
118.830100265 17.1053563981
119.789722098 17.6400884347
121.699451463 16.8914568716
122.358354338 18.0126610329
123.48284523 15.3078441675
123.592443837 15.1830202622
126.18002597 19.2869835603
126.363546379 16.1230706629
127.682581422 19.1996737088
128.963434422 16.079890125
129.455649065 20.3236520324
130.707367305 17.0077730959
131.739970505 17.512706998
132.7423864 17.87257054
134.118823388 20.4165506732
134.450229589 15.3829621153
135.35859227 18.2233343297
136.861232743 15.2176345846
138.082968835 17.6680298646
138.170926453 15.526088407
139.726471631 17.0572353522
141.10312753 17.8465407288
141.504228227 15.2198810278
142.694360345 15.9875376761
142.73996448 15.0327181401
144.226630939 17.0203929992
145.936478787 13.1960932208
147.19595203 16.9577981006
147.26886481 14.360445106
149.31484466 17.9965847545
149.155982565 15.7965032828
150.733106928 15.4206739447
151.44496429 12.5899278221
151.738169744 16.6526610736
153.305074997 14.4659349561
154.346228514 17.4377888866
156.110888253 17.8377961295
155.938870219 13.5564850117
156.940104456 16.5524521053
157.980179251 17.6284651812
159.517311317 15.7727886321
160.74516797 17.4440910156
161.817599887 17.7855738265
161.783023042 13.8084908527
162.738848016 16.1740251716
165.29233136 14.8210457251
165.977513007 16.0869131294
166.464782707 15.9643921748
166.735787747 13.4585152439
169.119315232 15.3500455093
169.411878424 11.124440907
170.451026765 13.6709802945
172.062532843 15.1421200924
172.789855378 14.0062491486
173.684823209 16.2503339051
174.082147454 15.2671755547
174.851224626 14.9087965315
178.120532692 14.3728050885
178.491232686 15.9526698561
178.913146879 12.7432924684
180.499059804 10.967415883
180.704819693 16.6657670649
181.072786517 15.8118977073
183.364705638 14.965958433
182.936959333 15.2938831065
184.013865319 13.6747707806
185.388725467 12.5558126938
187.321121276 17.3076013641
187.652888145 13.6556337767
189.107897512 13.5706041796
188.66367665 13.7955162262
190.835000448 11.239252418
191.22325836 15.0170279355
192.693038359 14.0919280724
193.64761111 12.1294336412
194.297426098 14.7708102435
195.51813994 15.4000228511
196.330413816 13.5214187319
196.659623401 14.2015174922
198.419828139 14.4025965018
199.255195445 12.7394083143
199.879243278 13.0694837974
201.785702701 13.3774523487
202.355810694 15.09970558
203.743152221 14.6938286766
203.743420398 13.5531366777
205.969761328 13.6974742686
206.573888052 14.8753214638
208.396044815 15.4602260752
208.357000758 13.9059584899
208.746449958 17.251932465
211.225478817 13.092163174
211.537041106 14.0340281062
212.640506676 11.8317257071
213.016996031 13.661394455
215.078182291 11.4613689853
215.464903109 13.3483012956
216.30777132 10.7294867619
216.467273731 13.7191746601
218.515769036 13.4971954432
218.870822379 12.1207202529
220.52166456 14.2069089728
220.969862772 12.6622223142
223.252353543 13.717672016
222.995185856 14.2722610623
223.433720952 11.7584677798
225.680405468 12.8801948576
225.916524729 12.2463803445
227.469482868 13.594521613
228.592987348 11.0465930664
229.343648679 11.7754440917
231.108112287 11.7701724338
231.332808915 10.4742791252
232.76312977 8.52285784166
233.041696952 13.37386696
233.663576146 10.6231380523
235.841141356 11.5249465656
236.166293509 12.8500093926
237.833617126 13.5528401284
238.939252158 13.6633615674
240.12465686 12.4732810434
240.850451786 11.7535810136
240.781782268 13.0402424863
242.735027509 12.7280991613
243.201703619 13.7188088742
244.205060988 13.8227031442
246.246315109 11.2681892773
246.997079398 13.732132092
247.78668814 15.2184363525
247.455877451 12.8162428477
249.614892724 11.7811961076
250.526171613 11.7371521275
250.588637386 10.0586069406
252.06480552 10.0098697693
253.645389133 14.1480078252
254.237993622 12.869985529
255.497730665 11.3377370074
256.472641321 10.2653337603
257.304204935 12.0737132127
258.006764329 13.4870813972
259.056124514 12.1422745818
260.528680545 11.638024808
261.785263397 12.2509869135
262.830747332 12.1677403148
263.236596865 13.8364816106
264.104468712 13.728150741
265.584608582 8.72295305829
266.591791196 13.3975243062
267.452799223 13.3785775086
268.058703113 12.262843329
269.613030831 11.6266546685
271.025792843 12.4848529872
271.043920558 13.2226105477
271.972211889 12.9232461514
274.448496716 12.9492368739
274.745387554 10.8927253761
275.380615869 12.2662275949
275.273096315 11.3416315725
277.414825463 12.3706484855
278.63885952 12.7225018565
278.681871726 11.2941123541
279.989085712 10.4810838011
281.658406391 13.3115716011
283.390203403 13.7105674815
283.651197351 13.5563460814
285.015397143 7.02250014652
285.15686814 11.7822768216
286.403187913 13.1003901129
287.200749507 12.5715282842
288.366594952 11.0178546644
289.421598983 10.3095576374
291.016531265 12.6903475788
291.337901793 12.0249164097
291.61793689 10.714795858
294.13513086 10.070541484
294.798797859 13.6480359107
295.753729243 10.718556583
296.625779058 11.5074618132
297.558847753 11.2945596034
298.874182964 11.5422805879

